Java < -> Javascript for non-Applets ?	^ G G ^ P ^ ,
I think you need to do the line ending conversion / check on both client and server because you don't know what line endings the client browser is going to use ( Firefox submits n even on Windows ) and if you develop server side on Windows and deploy on Linux then the line endings will be handled differently .	O V O V P V D N V N , V P D N & N P O V V D N N D N N V V P V , ^ V , R P ^ , & P O V N N P ^ & R P ^ R D N N V V V R ,
Lobo Cobra HtmlPanel does not update GUI after JavaScript action	^ ^ ^ V R V ^ P ^ N
HI , I started implementing a HTML Browser in Swing . I want to use the Lobo Cobra toolkit because this toolkit inclused a renderer and parser for CSS and JavaScript . The pages are looking very nice and it is easy to use ( one class implementation to show a html page ) . I want to show HTML pages in swing which can show javascript generated and modified objects , like a flashing circle . As far as i know , the cobra toolkit can show static javascript commands like ' document.write ' or closwWindow() implementations , but not updating the GUI from a JavaScript . Did someone works with Lobo Cobra Toolkit before and give me some sample code or tips for showing HTML pages with animated JavaScript objects inside .	! , O V V D ^ N P ^ , O V P V D ^ ^ N P D N V D N & N P ^ & ^ , D N V V R A & O V A P V , $ N N P V D ^ N , , O V P N ^ N P ^ O V N ^ V & A N , P D N N , R R P O V , D ^ N V V A ^ N V , ^ , & ^ N , & R V D ^ P D ^ , V O V P ^ ^ ^ P & V O D N N & N P V ^ N P V ^ N P ,
I'm under the impression that , as long as you set yourself up for notifications , your code will be called for all changes to the DOM whether done on page load or dynamically by Javascript following the page load . I would initially set up an object ( X ) implementing the DocumentNotificationListener interface and log a message for every method called . Then set that up as a listener with Y.addDocumentNotificationListener ( X ) [ where Y is your HTMLDocumentImpl object ] and load up your page to see which methods are actually called . Worst case is that you'll have to re-render your HTML page on every method call , but you should be able to optimize most of them . For example , changing colors of a node ( DOM object ) , which results in the X.lookInvalidated ( ... ) being called , wouldn't require re-rendering of the whole page as the node size doesn't change .	L P D N P , R R P O V O T P N , D N V V V P D N P D ^ P V P N N & R P ^ V D N N , O V R V T D N , G , V D ^ N & V D N P D N V , R V D T P D N P ^ , G , G R N V D ^ N , & V P D N P V D N V R V , A N V P L V P V D ^ N P D N V , & O V V A P V R P O , P N , V N P D N , ^ N , , D N P D ^ , G , V V , V V V P D A N P D N N V V ,
Returning JSON in GWT	V ^ P ^
I'm still pretty new to JSON and GWT and I'm trying to figure out how to pass JSON data back from a page into my GWT app . I pass the JSON back to a class : It's pretty basic and not complete at this moment so I'm just trying ( for now ) to make sure I can get something back . The code to call this is : However I get an error : No source code is available for type XYZ.GetProductTree ; did you forget to inherit a required module ? I am importing the correct package for XYZ.GetProductTree on the call page . What am I missing ?	L R R A P ^ & ^ & L V P V T R P V ^ N N P D N P D ^ ^ , O V D ^ N P D N , L R A & R A P D N P L R V , P R , P V R O V V O N , D N P V D V , R O V D N , D N N V A P N ^ , V O V P V D A N , O V V D A N P ^ P D N N , O V O V ,
This error is from the compiler , complaining that it can't find that type in it's classpath . For the GWT compiler to find your classes they have to be and in your classpath , and they have to be referenced in a . gwt.xml module file as well . Can you post your package names and the contents of your . gwt.xml files ? My guess is that wherever you have put this class it's not visible to the GWT compiler .	D N V P D N , V P O V V D N P L N , P D ^ N P V D N O V P V & P D N , & O V P V V P D , ^ N N P R , V O V D N N & D N P D , ^ N , D N V O R O V V D N L R A P D ^ N ,
I am so obtuse sometimes . I forgot about having to add the source path for my new package . I added this to a " data " package which I just created and didn't add the path to the XML . Thanks :)	O V P O R , O V P V P V D N N P D A N , O V D P D , N , N D O R V & V V D N P D ^ , ! E
Is it possible to obtain a web-browser's Java VM without using an applet ?	V O R P V D S ^ ^ P V D N ,
We have an ages old Java applet that we want to move forward to a newer version of Java ( 5 or 6 ) , however until today we've always supported people using Java VMs as far back as version 1.1 ( specifically for those still using the Microsoft VM ) As part of the upgrade , we'd like to be able to serve a web page to people using out-of-date VMs telling them which versions we now support and where they can download them from . Ideally we want to do this without having to serve a Java 1.1 applet first just to determine the JVM version . Answers to either of the following ( with code samples if possible ) would be appreciated : Question 1 : is it possible to determine the JVM in a script on the server using information from the HTTP headers ? Question 2 : is it possible to determine the information on the client using just JavaScript ?	O V D N A ^ N P O V P V R P D A N P ^ , $ & $ , , R P N L R V N V ^ ^ R R R P N $ , R P O R V D ^ ^ , P N P D N , L V P V A P V D N N P N V N ^ V O D N V R V & R O V V O P , R O V P V D P V P V D ^ $ N R R P V D ^ N , N P D P D N , P N N P A , V V V , N $ , V O R P V D ^ P D N P D N V N P D ^ N , N $ , V O R P V D N P D N V R ^ ,
Q1 : no Q2 : yes , but I don't know how portable that is : That outputs a table of all plugins , versions should be contained . I think you have to loop over all the plugins , check if ' java ' is contained in the name and then parse the version from description ...	N , D N , ! , & O V V R A O V , O N D N P D N , N V V A , O V O V P N P X D N , V P , ^ , V V P D N & R P D N P N ,
Up-voted for the short , but sweet , answer to Q1 - that's what I thought . Unfortunately , Q2 doesn't appear to port as far as IE6 - mine's getting navigator.plugins.length as 0 :-(	V P D A , & A , N P N , L D O V , R , N V V P N P R P ^ , L V ^ P $ E
A german website says it is supported in JavaScript 1.1 , Netscape 3.0 , Opera 5.12 , Firefox 1.0 , Konqueror 3.1 , Safari 1 and higher and ( exactly ) IE for Mac 5.0 :-( . Perhaps any of all these JS libs has something for that ...	D ^ N V O V V P ^ $ , ^ $ , ^ $ , ^ $ , ^ $ , ^ $ & R & , R , ^ P ^ $ E , R D P X D ^ ^ V N P D ,
There is a deployment toolkit for doing this sort of thing . Serving an applet shouldn't be too bad . It can either be a 1x1 pixel bug , or use your normal applet with a small 1.1 class that forwards the applet lifecycle methods if it can load your 1.5 code . Nobody should still be using 1.1 . It hasn't had security bugs fixed in it for years .	X V D N V P V D N P N , V D N V V R A , O V R V D $ N N , & V D A N P D A $ N P R D N N N P O V V D $ N , N V R V V $ , O V V N N V P O P N ,
We actually already serve an applet to determine the VM as we have two versions , one of which works around bugs in MS JVM ( but doesn't work on Sun ) and one of which is the other way round . The powers that be think this approach is too clunky going forward , so I'm tasked with looking for another way .	O R R V D N P V D ^ P O V $ N , $ P O V P N P ^ ^ , & V V P ^ , & $ P O V D A N N , D N O V V D N V R A V R , P L V P V P D N ,
Oh , and just because nobody * should * be using 1.1 , this does not mean none of our customers * are * using 1.1 , unfortunately :-(	! , & R P N , V , V V $ , O V R A N P D N , V , V $ , R E
This script seems to do the trick on all major browsers : http://www.pinlady.net/PluginDetect/JavaDetect.htm	D N V P V D N P D A N , U
Seems quite complex considering it might run an applet anyway for its " NOTF " approach ; we might as well just go straight to that option . Plus I'm not sure I want to run code written by someone who uses the idiom " Java142Installed = Java142Status == 1 ? true : false "	V R A V O V V D N R P L , ^ , N , O V R R R V R P D N , A L R A O V P V N V P O O V D N , ^ = ^ = $ , C , C ,
Well , I have to admit I didn't go beyond testing it actually worked .	! , O V P V O V V P V O R V ,
I think the deployment toolkit might do what you want . Use the runApplet() function in deployJava to ensure that a minimum Java Runtime Environment is available on a client machine before launching the applet .	O V D N N V V O O V , V D ^ N P G P V P D A ^ ^ N V A P D N N P V D N ,
Looks like the deployment toolkit is the " proper " way forward , so I've accepted this answer as it included a link to the appropriate page ( sorry , tackline - I know you suggested the toolkit first , but them's the breaks ) . Meanwhile , we'll be using our tried-and-tested launch an applet approach !	V P D N N V D , A , N R , P L V D N P O V D N P D A N , A , G , O V O V D N R , & G D N , , R , L V V D A N D N N ,
Good choice for a lightweight checksum algorithm ?	A N P D A N N ,
So the whole TCP / IP checksum thing isn't working ... I'm thinking that anything corrupted in transit is going to get rejected at a much lower layer than the application level .	P D A ^ , ^ N N V V , L V D O V P N V V P V V P D R A N P D N N ,
Yeah , this sounds like something usually left to the transport layer . Can you explain your scenario a little more ? Where is your data being sent and what specific causes of data corruption are you trying to guard against ?	! , O V P N R V P D N N , V O V D N D A A , R V D N V V & D A N P N N V O V P V P ,
@dtsazza - you mentioned in a comment below that this is for security ( malicious users ) . Can you elaborate ? Especially since this will probably run in a browser .	@ , O V P D N P D D V P N , A N , , V O V , R P D V R V P D N ,
Use SHA-1 JS implementation . It's not as slow as you think ( Firefox 3.0 on Core 2 Duo 2.4 Ghz hashes over 100KB per second ) .	V ^ ^ N , L R R A P O V , ^ $ P ^ $ ^ $ G V P $ P N , ,
[ UPDATE 30 / 5 / 2013 : The link to the old JS CRC32 implementation died , so I've now linked to a different one . ] Google CRC32 : fast , and much lighter weight than MD5 et al . There is a Javascript implementation here .	G G G G G G G G D N P D A ^ ^ N V , P L R V P D A O , , ^ ^ , A , & R A N P ^ & N , X V D ^ N R ,
Link now broken unfortunately .	V R V R ,
@JamesWestgate : Thanks James , I've found a new one and linked to that . Incidentally the first JS version I found ( at http://noteslog.com/post/crc32-for-javascript/) actually reparses part of the string containing the table for each character processed , which will make it * much * slower than necessary .	@ , N ^ , L V D A O & V P D , R D A ^ N O V , P U R A N P D N V D N P D N V , O V V O , A , A P A ,
